utm_campaign_name,marketing_event_type,marketing_event_target,orders,total_sales
June_12_2017_June_Shop-stripes,,,1,0.00
March_Launch_Video_4_Traffic,,,1,0.00
July_24_2017_Newsletter_Shop_Dresses,newsletter,email,1,0.00
10.27.16 newsletter shop dresses,,,3,0.00
10.20.16,,,1,0.00
08.21.17,,,1,0.00
10.10.16,,,1,-51.60
8.25.16 - Week 4,,,0,-126.00
9.15.16 - Week 2,,,2,-338.00
9.29.16 - Week 4,,,3,-558.40
10.4.16 - Week 5,,,1,-594.00
8.4.16 - Fall Launch,,,0,-792.00
FB_09_19_SEPT,,,1,-822.00
9.27.16 - Week 4 Sale,,,3,-1256.00
9.22.16 - Week 3,,,1,-2178.00
10.6.16 - October Launch,,,9,-3324.00
