# ----------------------------------------
# rebeccaminkoff.com
# Channels
# 20160209-20171108
# ----------------------------------------

Source / Medium,Date,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Revenue
Criteo / retargeting,20161018,826,3.51%,29,25.54%,4.57,00:04:38,0.61%,5,$444.26
m.facebook.com / referral,20170917,826,47.22%,390,30.63%,4.69,00:03:17,0.00%,0,$0.00
rebeccaminkoff.com / referral,20170131,824,2.18%,18,15.66%,7.82,00:07:08,0.49%,4,$710.87
Baidu / cpc,20170305,823,80.44%,662,57.84%,2.83,00:02:33,0.00%,0,$0.00
Criteo / retargeting,20170324,823,6.93%,57,26.73%,4.45,00:04:33,2.31%,19,"$2,875.09"
baidu / organic,20160301,822,42.94%,353,16.42%,7.04,00:08:07,1.22%,10,"$1,840.95"
baidu / organic,20170809,822,51.22%,421,14.84%,8.56,00:09:31,0.85%,7,"$1,024.91"
Criteo / retargeting,20170401,822,6.69%,55,29.56%,4.13,00:03:46,0.49%,4,$405.00
baidu / organic,20160819,821,46.04%,378,10.35%,7.61,00:09:43,1.95%,16,"$2,187.02"
baidu / organic,20170510,819,47.62%,390,12.94%,6.59,00:07:29,1.10%,9,$841.00
Criteo / retargeting,20160519,819,6.59%,54,16.61%,3.38,00:03:05,0.61%,5,$805.63
Criteo / retargeting,20161119,819,8.67%,71,26.37%,4.38,00:04:24,0.98%,8,$787.33
Criteo / retargeting,20170207,818,5.87%,48,24.82%,4.41,00:04:19,0.61%,5,$642.01
facebook / display,20171108,818,40.22%,329,55.01%,2.38,00:02:04,0.98%,8,"$1,052.62"
rebeccaminkoff.com / referral,20161206,818,1.22%,10,15.16%,7.03,00:07:15,0.12%,1,$238.00
rebeccaminkoff.com / referral,20161114,817,0.86%,7,12.73%,7.70,00:07:52,0.12%,1,$122.00
cj / affiliate,20161012,816,46.57%,380,38.73%,3.58,00:03:40,0.25%,2,$524.00
m.facebook.com / referral,20171028,816,54.53%,445,46.81%,3.02,00:03:16,0.12%,1,$98.00
Criteo / retargeting,20160412,815,11.78%,96,23.07%,2.89,00:02:39,0.49%,4,$494.08
m.facebook.com / referral,20160516,815,47.61%,388,14.23%,3.03,00:02:06,0.00%,0,$0.00
m.facebook.com / referral,20160719,814,45.09%,367,35.38%,4.45,00:03:26,0.00%,0,$0.00
facebook / social,20170228,813,44.40%,361,42.80%,2.48,00:01:18,0.25%,2,$342.41
cj / affiliate,20161015,812,42.98%,349,34.48%,3.50,00:03:10,0.62%,5,$394.63
Criteo / retargeting,20170309,812,4.93%,40,25.25%,5.15,00:04:53,0.62%,5,"$1,783.94"
facebook / paid social,20160312,812,60.84%,494,7.88%,4.40,00:02:58,0.12%,1,$260.00
Facebook / paidsocial,20170728,812,44.21%,359,44.83%,3.55,00:02:48,0.62%,5,"$1,097.60"
baidu / organic,20161228,811,45.50%,369,13.44%,7.83,00:08:59,0.99%,8,$681.32
Criteo / retargeting,20161114,811,4.19%,34,24.41%,4.44,00:04:09,0.62%,5,$663.72
Criteo / retargeting,20170322,811,8.75%,71,29.35%,3.47,00:03:04,0.37%,3,$688.00
facebook / social,20170511,811,20.84%,169,20.22%,4.22,00:03:45,0.86%,7,"$1,148.62"
baidu / organic,20170324,810,52.35%,424,16.91%,5.90,00:06:14,1.48%,12,"$1,169.13"
Criteo / retargeting,20160928,810,4.20%,34,29.88%,3.90,00:04:01,1.60%,13,"$2,314.26"
Facebook / paidsocial,20170301,809,62.92%,509,44.38%,3.07,00:01:49,0.00%,0,$0.00
Facebook / paidsocial,20170822,809,18.17%,147,26.70%,4.84,00:03:48,0.25%,2,$359.55
facebook / social,20170313,809,57.35%,464,9.39%,3.46,00:02:19,0.25%,2,$203.31
rebeccaminkoff.com / referral,20170105,809,0.99%,8,14.96%,6.90,00:06:32,0.25%,2,$306.00
rebeccaminkoff.com / referral,20170321,809,2.22%,18,16.44%,6.70,00:06:56,0.37%,3,$841.00
rebeccaminkoff.com / referral,20170517,808,9.90%,80,15.59%,7.04,00:07:28,0.37%,3,$517.00
baidu / organic,20160303,807,43.12%,348,17.72%,7.09,00:08:36,1.36%,11,"$2,938.26"
ls / affiliate,20160421,807,54.65%,441,14.13%,4.77,00:05:18,1.36%,11,$873.98
facebook / paidsocial,20161114,806,44.17%,356,38.83%,3.34,00:02:24,0.00%,0,$0.00
Facebook / paidsocial,20170305,806,55.58%,448,59.18%,1.85,00:01:03,0.00%,0,$0.00
rebeccaminkoff.com / referral,20161103,806,1.36%,11,13.15%,6.95,00:07:10,0.12%,1,$510.96
eean / affiliate,20160520,805,28.20%,227,11.06%,3.85,00:03:36,1.99%,16,"$1,760.48"
Rebecca Minkoff Chinese Speakers Newsletter / email,20160701,805,27.45%,221,23.60%,4.59,00:04:21,0.99%,8,$963.96
rebeccaminkoff.com / referral,20170317,805,0.87%,7,19.25%,6.86,00:06:49,0.12%,1,$195.00
rebeccaminkoff.com / referral,20170424,805,10.56%,85,14.04%,7.02,00:07:37,0.75%,6,$720.40
Criteo / retargeting,20170108,804,6.97%,56,29.85%,3.84,00:03:08,0.50%,4,$381.79
Facebook / paidsocial,20171005,804,43.03%,346,42.29%,4.22,00:03:31,0.25%,2,$418.00
Baidu / cpc,20170420,803,79.58%,639,44.96%,2.95,00:02:46,0.00%,0,$0.00
Criteo / retargeting,20170323,803,7.72%,62,27.27%,3.99,00:03:39,2.24%,18,"$2,725.01"
m.facebook.com / referral,20170605,803,48.94%,393,30.26%,3.77,00:02:54,0.00%,0,$0.00
baidu / organic,20160311,802,41.90%,336,12.09%,7.94,00:10:35,1.62%,13,"$3,658.29"
Criteo / retargeting,20161021,802,3.37%,27,32.17%,4.17,00:03:57,1.12%,9,$684.40
msn / cpc,20161123,802,44.26%,355,11.72%,8.01,00:07:32,3.87%,31,"$5,319.50"
facebook / paidsocial,20161216,801,45.44%,364,22.60%,2.07,00:01:19,0.00%,0,$0.00
rebeccaminkoff.com / referral,20161113,801,0.62%,5,12.23%,8.21,00:08:44,0.25%,2,$133.30
Criteo / retargeting,20160624,800,5.38%,43,24.25%,4.71,00:04:21,2.12%,17,"$2,639.05"
Criteo / retargeting,20160829,800,8.88%,71,22.00%,3.29,00:02:37,0.62%,5,"$1,455.88"
go.onlineshopmy.com / referral,20160603,800,49.88%,399,26.50%,5.21,00:04:52,0.38%,3,$350.84
rebeccaminkoff.com / referral,20170210,800,0.62%,5,14.00%,7.78,00:07:50,0.38%,3,$821.15
rebeccaminkoff.com / referral,20170303,800,0.38%,3,13.38%,7.74,00:07:45,0.25%,2,$275.36
shopify / email,20171024,800,14.75%,118,16.50%,7.93,00:06:57,11.38%,91,"$15,336.01"
Criteo / retargeting,20170208,799,8.01%,64,26.66%,4.26,00:04:03,0.88%,7,"$1,229.24"
eean / affiliate,20160905,799,21.78%,174,16.27%,5.67,00:05:23,4.88%,39,"$5,491.76"
m.facebook.com / referral,20160304,799,90.61%,724,83.73%,1.55,00:00:35,0.00%,0,$0.00
Criteo / retargeting,20160328,798,10.65%,85,28.32%,3.28,00:03:02,0.38%,3,$401.80
Criteo / retargeting,20161112,797,2.51%,20,24.22%,5.69,00:05:34,1.38%,11,"$1,081.79"
facebook / paidsocial,20160722,797,61.36%,489,35.38%,2.75,00:02:05,0.00%,0,$0.00
Criteo / retargeting,20170318,796,8.29%,66,28.27%,4.54,00:04:21,0.63%,5,$726.53
Extole / referralprog,20160527,796,21.48%,171,21.86%,6.59,00:05:35,1.76%,14,"$1,642.55"
Facebook / paidsocial,20170908,796,26.01%,207,31.53%,5.04,00:04:04,0.75%,6,"$1,342.88"
facebook.com / referral,20160728,795,46.92%,373,21.64%,4.51,00:04:57,1.26%,10,"$4,881.37"
Baidu / cpc,20170306,794,79.60%,632,53.53%,3.09,00:02:38,0.00%,0,$0.00
cj / affiliate,20161002,794,42.32%,336,39.42%,3.66,00:03:32,1.26%,10,"$1,489.27"
Criteo / retargeting,20161118,794,6.68%,53,24.94%,4.94,00:05:03,1.13%,9,"$1,687.71"
baidu / organic,20160216,793,47.04%,373,16.52%,7.95,00:09:43,1.13%,9,"$1,673.84"
baidu / organic,20160514,793,44.77%,355,10.34%,7.20,00:08:10,1.01%,8,"$1,463.09"
facebook / paid social,20160313,793,64.69%,513,7.31%,4.58,00:03:11,0.25%,2,$614.99
facebook / paidsocial,20160923,793,75.03%,595,53.34%,2.34,00:01:21,0.00%,0,$0.00
msn / cpc,20161124,793,39.47%,313,12.74%,7.82,00:07:01,3.28%,26,"$3,694.91"
Rebecca Minkoff Newsletter / email,20160616,793,4.04%,32,29.38%,4.46,00:03:48,0.76%,6,"$1,166.44"
baidu / organic,20161130,792,40.03%,317,14.27%,6.37,00:06:27,0.00%,0,$0.00
baidu / organic,20161226,792,40.40%,320,10.23%,9.17,00:10:30,0.63%,5,$666.40
Criteo / retargeting,20160502,792,15.40%,122,21.97%,3.28,00:03:05,0.51%,4,$423.86
m.facebook.com / referral,20170915,790,43.29%,342,24.43%,5.13,00:03:54,0.00%,0,$0.00
baidu / organic,20160730,789,46.77%,369,11.53%,7.98,00:10:20,1.27%,10,"$1,451.21"
facebook / paidsocial,20161013,789,70.22%,554,45.25%,3.24,00:02:15,0.38%,3,$368.87
m.facebook.com / referral,20160623,789,45.50%,359,22.69%,3.80,00:03:31,0.00%,0,$0.00
Facebook / paidsocial,20170730,788,46.95%,370,45.43%,3.53,00:02:14,0.25%,2,$468.43
Rebecca Minkoff Newsletter 2016 / email,20160715,788,38.71%,305,34.01%,3.30,00:03:10,0.13%,1,$76.50
rstyle.me / referral,20161127,788,74.24%,585,57.61%,1.53,00:01:26,0.63%,5,$744.23
baidu / organic,20160731,787,41.30%,325,15.12%,6.81,00:07:52,0.76%,6,"$1,007.93"
msn / cpc,20161226,786,36.51%,287,11.45%,7.39,00:06:15,3.94%,31,"$3,542.40"
ls / affiliate,20160926,785,28.92%,227,20.76%,4.46,00:04:41,4.33%,34,"$5,728.48"
rebeccaminkoff.com / referral,20170325,785,0.13%,1,18.47%,6.40,00:06:07,0.00%,0,$0.00
m.facebook.com / referral,20160930,784,56.51%,443,34.31%,4.04,00:03:11,0.00%,0,$0.00
rebeccaminkoff.com / referral,20170120,784,1.79%,14,13.39%,6.94,00:07:06,0.26%,2,$436.30
baidu / organic,20170114,783,51.98%,407,14.69%,6.47,00:06:10,0.77%,6,$777.42
Criteo / retargeting,20160518,783,3.70%,29,14.69%,3.43,00:03:16,0.64%,5,$797.49
Criteo / retargeting,20160714,783,10.09%,79,23.50%,3.42,00:03:15,1.02%,8,$907.98
facebook / paidsocial,20160725,783,61.43%,481,33.72%,2.83,00:01:56,0.13%,1,$178.50
m.facebook.com / referral,20170717,783,56.32%,441,44.06%,3.32,00:02:29,0.00%,0,$0.00
tapshop / landing_page,20171024,783,76.88%,602,36.14%,2.74,00:02:52,0.64%,5,$687.00
Baidu / cpc,20170226,782,81.33%,636,60.23%,2.87,00:02:21,0.26%,2,$360.80
baidu / organic,20170116,782,50.26%,393,13.17%,6.16,00:05:44,0.77%,6,$325.85
baidu / organic,20170810,782,44.63%,349,16.88%,7.28,00:08:11,0.90%,7,$957.50
baidu / organic,20160214,781,49.81%,389,16.39%,8.06,00:09:26,0.26%,2,$406.30
Criteo / retargeting,20160623,781,6.27%,49,23.69%,4.10,00:04:05,1.02%,8,"$1,306.87"
eean / affiliate,20160218,780,37.69%,294,42.82%,4.03,00:03:43,1.67%,13,"$2,403.97"
facebook.com / referral,20160310,780,41.54%,324,18.72%,6.44,00:07:05,1.54%,12,"$5,823.71"
Instagram / paidsocial,20170630,780,41.28%,322,22.18%,5.45,00:04:44,0.77%,6,$736.72
m.facebook.com / referral,20160731,780,42.95%,335,28.33%,4.25,00:03:26,0.13%,1,$199.48
Criteo / retargeting,20161115,779,3.98%,31,24.90%,4.31,00:03:51,1.03%,8,"$1,056.56"
rebeccaminkoff.com / referral,20161203,779,1.16%,9,16.05%,7.39,00:07:43,0.13%,1,$148.00
Criteo / retargeting,20160211,778,8.23%,64,37.79%,3.69,00:03:34,0.90%,7,"$1,205.97"
facebook.com / referral,20161025,778,51.80%,403,25.06%,4.75,00:05:23,1.16%,9,"$1,722.30"
Criteo / retargeting,20160920,777,6.44%,50,25.48%,4.11,00:03:56,1.03%,8,"$1,306.78"
Criteo / retargeting,20161111,777,1.54%,12,25.61%,5.39,00:05:28,0.77%,6,$893.04
Rebecca Minkoff Chinese Speakers Newsletter / email,20160704,777,18.92%,147,20.33%,4.42,00:04:05,0.51%,4,$625.06
baidu / organic,20170115,776,51.03%,396,14.30%,6.06,00:05:54,0.64%,5,$537.95
Criteo / retargeting,20160718,776,12.50%,97,29.51%,3.50,00:03:19,0.77%,6,$670.77
m.facebook.com / referral,20160802,776,50.26%,390,34.79%,3.66,00:02:45,0.26%,2,$258.06
rebeccaminkoff.com / referral,20170126,776,1.03%,8,16.24%,8.08,00:07:48,0.52%,4,$464.00
baidu / organic,20160721,774,51.68%,400,13.57%,7.27,00:09:41,0.39%,3,$297.00
cj / affiliate,20161017,774,45.74%,354,46.90%,2.93,00:02:37,0.13%,1,$169.44
Criteo / retargeting,20170307,774,5.68%,44,26.87%,4.89,00:04:12,1.16%,9,"$1,526.90"
rebeccaminkoff.com / referral,20170307,774,0.78%,6,18.22%,7.30,00:07:27,0.39%,3,$585.45
Facebook / paidsocial,20170924,773,46.70%,361,41.27%,3.93,00:02:44,0.52%,4,$791.72
msn / cpc,20170518,773,16.04%,124,15.27%,5.50,00:04:49,1.42%,11,"$1,749.91"
Criteo / retargeting,20160407,772,12.18%,94,21.24%,3.21,00:03:01,0.13%,1,$89.15
Criteo / retargeting,20170311,772,5.96%,46,31.61%,4.34,00:04:09,0.65%,5,"$1,511.45"
rebeccaminkoff.com / referral,20161106,772,0.91%,7,12.56%,8.32,00:08:28,0.13%,1,$432.03
rebeccaminkoff.com / referral,20170530,772,15.28%,118,12.95%,7.50,00:08:06,0.78%,6,$848.90
Facebook / paidsocial,20170224,771,50.84%,392,45.01%,2.58,00:01:34,0.00%,0,$0.00
Facebook / paidsocial,20170727,771,41.76%,322,42.15%,3.87,00:02:51,0.26%,2,$591.10
m.facebook.com / referral,20160416,771,49.29%,380,10.12%,4.67,00:03:38,0.00%,0,$0.00
Criteo / retargeting,20160401,770,13.12%,101,30.52%,3.03,00:02:52,0.65%,5,$787.69
rebeccaminkoff.com / referral,20161112,770,0.78%,6,11.30%,9.34,00:09:00,0.91%,7,"$1,060.71"
rebeccaminkoff.com / referral,20170107,770,0.26%,2,13.90%,7.94,00:07:45,0.26%,2,$136.60
msn / cpc,20161126,769,47.72%,367,14.69%,7.47,00:06:38,3.51%,27,"$4,934.04"
cj / affiliate,20161013,768,41.67%,320,43.36%,3.39,00:03:26,0.91%,7,$747.70
facebook / social,20160830,768,36.33%,279,9.11%,2.89,00:01:46,0.00%,0,$0.00
rebeccaminkoff.com / referral,20170304,768,0.26%,2,13.80%,7.54,00:07:13,0.13%,1,$165.75
rebeccaminkoff.com / referral,20170316,768,0.78%,6,16.41%,7.20,00:07:10,0.52%,4,$643.35
steelhouse / retargeting,20170602,768,18.10%,139,13.28%,4.95,00:05:50,1.30%,10,"$1,577.31"
Criteo / retargeting,20161113,767,2.74%,21,24.90%,4.35,00:03:59,1.30%,10,"$1,081.09"
naver / organic,20161125,767,50.98%,391,5.61%,4.66,00:03:26,1.17%,9,"$1,388.25"
cj / affiliate,20161011,765,43.27%,331,38.43%,4.07,00:03:38,0.78%,6,"$1,242.04"
l.facebook.com / referral,20161229,765,92.16%,705,6.54%,1.58,00:00:38,0.13%,1,$149.00
rebeccaminkoff.com / referral,20170106,765,0.65%,5,14.38%,7.38,00:06:44,0.39%,3,$564.00
rebeccaminkoff.com / referral,20170508,765,7.84%,60,17.78%,7.02,00:07:52,0.39%,3,$331.80
Criteo / retargeting,20161116,764,5.10%,39,24.48%,4.76,00:04:25,0.65%,5,$711.23
m.facebook.com / referral,20160701,764,47.38%,362,30.10%,4.24,00:02:59,0.00%,0,$0.00
rebeccaminkoff.com / referral,20170212,764,0.52%,4,14.53%,7.33,00:06:52,0.52%,4,"$1,027.45"
baidu / organic,20170310,763,47.18%,360,15.33%,7.45,00:07:41,0.39%,3,$851.90
Facebook / paidsocial,20170306,763,56.23%,429,63.17%,1.89,00:01:03,0.13%,1,$295.00
facebook.com / referral,20161124,763,40.89%,312,21.89%,6.00,00:06:57,1.83%,14,"$4,210.78"
Haitao / alipay,20171009,763,41.55%,317,40.50%,5.70,00:05:28,1.44%,11,"$1,794.05"
m.facebook.com / referral,20161224,763,49.54%,378,20.45%,5.59,00:04:49,0.13%,1,$231.00
rebeccaminkoff.com / referral,20161218,763,0.39%,3,17.56%,8.04,00:08:04,0.39%,3,"$1,302.23"
baidu / organic,20170314,762,51.44%,392,14.57%,7.37,00:07:37,0.39%,3,"$1,418.90"
Criteo / retargeting,20170410,762,4.72%,36,28.35%,4.04,00:03:56,1.18%,9,"$1,695.40"
eean / affiliate,20160419,762,43.44%,331,16.67%,4.06,00:04:05,0.79%,6,"$1,177.91"
yahoo / organic,20160511,762,33.60%,256,14.83%,7.72,00:07:56,1.05%,8,"$2,057.12"
baidu / organic,20170207,761,58.61%,446,15.90%,5.88,00:05:09,0.00%,0,$0.00
Criteo / retargeting,20161204,761,3.68%,28,21.42%,3.91,00:03:48,1.05%,8,"$1,118.72"
Criteo / retargeting,20170302,761,6.04%,46,21.81%,5.42,00:05:29,0.66%,5,$762.66
go.redirectingat.com / referral,20160625,761,88.04%,670,44.55%,1.67,00:00:49,0.00%,0,$0.00
msn / cpc,20170508,761,28.25%,215,11.30%,7.88,00:07:25,1.97%,15,"$2,602.75"
Extole / referralprog,20160728,760,19.47%,148,10.13%,7.18,00:08:23,7.63%,58,"$7,163.97"
steelhouse / retargeting,20170515,760,11.18%,85,7.89%,5.56,00:06:33,3.42%,26,"$4,470.86"
ls / affiliate,20160729,759,36.23%,275,23.72%,4.83,00:05:54,1.58%,12,"$1,928.71"
msn / cpc,20170715,759,14.36%,109,15.55%,6.72,00:05:51,1.19%,9,"$1,620.08"
baidu / organic,20160516,758,42.35%,321,10.16%,6.92,00:08:19,2.24%,17,"$2,691.53"
baidu / organic,20161028,758,47.36%,359,19.66%,6.65,00:07:27,1.06%,8,"$1,563.56"
HP_DESKTOP / site,20170420,758,3.03%,23,19.26%,6.03,00:05:51,1.19%,9,"$1,549.74"
m.facebook.com / referral,20170514,758,55.80%,423,31.40%,3.81,00:03:06,0.00%,0,$0.00
m.facebook.com / referral,20171019,758,73.61%,558,49.60%,2.60,00:01:57,0.00%,0,$0.00
baidu / organic,20160804,757,45.18%,342,12.02%,8.17,00:10:30,1.06%,8,"$1,599.80"
Haitao / alipay,20170822,757,63.54%,481,47.82%,3.08,00:02:33,0.00%,0,$0.00
rebeccaminkoff.com / referral,20170319,757,1.72%,13,19.68%,6.40,00:06:49,0.66%,5,"$1,046.25"
yahoo / organic,20161125,754,38.33%,289,14.85%,8.30,00:08:35,3.32%,25,"$3,942.13"
Facebook / paidsocial,20170709,753,28.29%,213,31.47%,4.38,00:03:49,0.27%,2,$338.12
shopify / email,20171030,753,12.08%,91,17.93%,6.84,00:06:58,7.97%,60,"$10,750.12"
baidu / organic,20160213,752,49.60%,373,15.29%,7.79,00:08:37,0.40%,3,$648.20
Criteo / retargeting,20160825,752,9.57%,72,19.95%,3.56,00:02:51,0.80%,6,$939.46
extole / referralprog,20171105,752,33.78%,254,30.59%,4.95,00:04:50,1.33%,10,"$2,128.55"
facebook / paidsocial,20170118,752,21.14%,159,26.60%,5.79,00:04:30,0.27%,2,$385.00
rebeccaminkoff.com / referral,20170306,751,0.40%,3,16.25%,7.30,00:07:18,0.80%,6,"$1,179.00"
baidu / organic,20170815,750,44.67%,335,18.53%,7.44,00:08:22,1.60%,12,"$1,517.02"
Criteo / retargeting,20160329,750,15.47%,116,26.93%,3.53,00:03:37,0.93%,7,"$1,461.33"
Facebook / paidsocial,20170304,750,55.33%,415,71.87%,1.84,00:00:47,0.13%,1,$178.00
rebeccaminkoff.com / referral,20170423,750,9.33%,70,17.60%,5.88,00:05:48,0.53%,4,$598.05
steelhouse / retargeting,20170627,750,22.00%,165,20.93%,4.34,00:04:32,0.53%,4,$491.10
baidu / organic,20160801,749,38.45%,288,10.95%,7.43,00:09:08,0.67%,5,$636.44
Facebook / paidsocial,20170914,748,39.71%,297,38.77%,4.46,00:03:13,0.27%,2,$473.80
Facebook / paidsocial,20171007,748,46.66%,349,45.32%,4.09,00:02:53,0.40%,3,$398.00
baidu / organic,20170206,747,57.97%,433,14.32%,6.15,00:05:40,0.27%,2,$663.67
msn / cpc,20170611,747,12.85%,96,24.36%,5.35,00:04:20,1.47%,11,"$1,797.94"
baidu / organic,20160526,746,48.53%,362,8.04%,7.27,00:09:21,1.21%,9,"$1,512.70"
baidu / organic,20170814,746,48.39%,361,17.83%,7.47,00:07:55,0.40%,3,$399.75
facebook / paidsocial,20170213,746,49.06%,366,8.98%,3.88,00:02:25,0.00%,0,$0.00
m.cafe.naver.com / referral,20170112,746,46.92%,350,31.90%,6.07,00:05:20,0.54%,4,$345.50
naver / organic,20160511,746,44.10%,329,7.24%,10.01,00:09:09,1.47%,11,"$1,609.17"
rebeccaminkoff.com / referral,20170211,746,0.67%,5,13.94%,9.06,00:08:48,0.27%,2,$425.00
Criteo / retargeting,20170327,745,6.71%,50,30.07%,3.15,00:02:56,0.81%,6,$886.21
facebook / paidsocial,20170120,744,20.83%,155,27.96%,5.65,00:04:46,0.81%,6,"$1,812.24"
tapshop / landing_page,20171026,744,72.72%,541,45.56%,2.59,00:02:29,0.40%,3,$272.36
baidu / organic,20161222,743,37.28%,277,12.65%,7.07,00:08:34,0.94%,7,"$1,097.46"
Criteo / retargeting,20161013,743,2.29%,17,25.30%,4.74,00:04:48,1.75%,13,"$1,321.30"
eean / affiliate,20160904,743,25.44%,189,17.36%,5.05,00:04:39,2.96%,22,"$4,566.69"
msn / cpc,20160629,743,23.28%,173,14.80%,5.39,00:04:49,1.48%,11,"$4,357.41"
Criteo / retargeting,20170209,742,10.51%,78,28.30%,3.53,00:03:03,0.67%,5,"$1,530.64"
m.facebook.com / referral,20170102,742,48.38%,359,30.86%,4.17,00:03:07,0.00%,0,$0.00
Facebook / paidsocial,20170729,741,44.67%,331,44.53%,3.78,00:02:54,0.27%,2,$367.20
Facebook / paidsocial,20170801,741,50.34%,373,45.07%,3.56,00:02:34,0.13%,1,$472.00
Criteo / retargeting,20170421,740,10.14%,75,29.59%,3.54,00:03:28,0.27%,2,$564.20
oursteps.com.au / referral,20160801,739,75.64%,559,38.02%,3.34,00:03:18,0.00%,0,$0.00
m.facebook.com / referral,20170715,738,45.26%,334,27.78%,5.47,00:04:02,0.00%,0,$0.00
steelhouse / retargeting,20170629,738,22.09%,163,21.82%,3.67,00:03:59,0.14%,1,$314.50
facebook / paidsocial,20160723,737,67.30%,496,40.30%,2.56,00:01:45,0.00%,0,$0.00
facebook.com / referral,20160818,737,43.55%,321,20.49%,5.83,00:06:53,0.68%,5,"$1,434.75"
Criteo / retargeting,20170416,736,10.46%,77,29.08%,3.61,00:03:24,0.14%,1,$195.00
rebeccaminkoff.com / referral,20170320,736,1.77%,13,17.93%,6.40,00:06:27,0.41%,3,$718.55
baidu / organic,20160314,735,41.77%,307,13.88%,8.16,00:10:09,1.22%,9,"$2,884.21"
baidu / organic,20160515,735,40.41%,297,10.75%,7.18,00:08:58,1.22%,9,"$1,197.35"
m.facebook.com / referral,20170314,735,45.71%,336,24.08%,4.57,00:03:43,0.00%,0,$0.00
Extole / referralprog,20160727,734,23.16%,170,7.36%,8.29,00:09:59,8.45%,62,"$9,313.62"
Facebook / paidsocial,20170303,734,61.85%,454,53.13%,2.90,00:01:57,0.41%,3,$747.54
Rebecca Minkoff Newsletter 2016 / email,20160710,734,30.11%,221,30.25%,4.73,00:04:07,0.68%,5,$898.36
rebeccaminkoff.com / referral,20170122,733,1.77%,13,15.14%,7.20,00:06:45,0.14%,1,$131.00
Extole / referralprog,20161027,732,19.54%,143,25.14%,6.72,00:07:25,5.46%,40,"$5,603.00"
rebeccaminkoff.com / referral,20170527,732,10.52%,77,15.71%,7.31,00:06:59,0.82%,6,"$1,129.40"
Criteo / retargeting,20160425,731,13.68%,100,22.98%,3.12,00:02:53,0.27%,2,$288.00
Criteo / retargeting,20161016,730,3.01%,22,28.22%,5.09,00:05:24,1.51%,11,"$1,852.20"
facebook / paidsocial,20170203,730,39.59%,289,8.36%,4.96,00:03:51,0.27%,2,$213.13
Baidu / cpc,20170304,729,81.34%,593,56.10%,2.86,00:02:49,0.14%,1,$126.65
Facebook / paidsocial,20170223,729,54.18%,395,47.87%,2.37,00:01:20,0.14%,1,$64.00
Facebook / paidsocial,20170710,729,27.98%,204,32.37%,4.60,00:04:02,0.27%,2,$230.07
msn / cpc,20161129,729,49.11%,358,13.58%,7.63,00:06:35,5.62%,41,"$6,305.00"
baidu / organic,20170209,728,54.95%,400,16.90%,6.34,00:06:06,0.14%,1,$168.30
eean / affiliate,20160213,728,49.04%,357,34.62%,4.32,00:04:07,1.24%,9,"$1,029.54"
l.facebook.com / referral,20161128,728,82.01%,597,7.28%,2.87,00:01:28,0.27%,2,$204.00
baidu / organic,20170710,727,44.15%,321,17.19%,9.07,00:11:04,0.41%,3,$627.05
Criteo / retargeting,20161230,727,1.79%,13,18.57%,5.94,00:05:53,1.93%,14,"$1,645.79"
Facebook / paidsocial,20170215,727,56.95%,414,39.61%,2.25,00:01:14,0.00%,0,$0.00
facebook / social,20160927,727,41.95%,305,45.39%,2.53,00:01:30,0.00%,0,$0.00
baidu / organic,20160217,726,47.25%,343,13.50%,6.95,00:08:23,0.28%,2,$404.81
Instagram / paidsocial,20170524,726,41.18%,299,25.07%,3.87,00:03:11,0.83%,6,$796.51
steelhouse / retargeting,20170705,726,23.00%,167,19.56%,4.02,00:04:18,0.69%,5,$492.95
Criteo / retargeting,20170121,725,5.93%,43,27.17%,3.51,00:03:03,0.14%,1,$208.44
eean / affiliate,20160211,725,33.93%,246,36.00%,4.65,00:04:06,3.17%,23,"$3,725.31"
m.facebook.com / referral,20161018,725,45.93%,333,47.45%,3.32,00:02:08,0.00%,0,$0.00
msn / cpc,20170630,725,16.69%,121,18.34%,6.14,00:05:27,0.69%,5,$981.88
Taboola / referral,20161021,724,91.85%,665,74.17%,1.78,00:00:45,0.00%,0,$0.00
Rebecca Minkoff Newsletter / email,20160713,723,5.53%,40,39.56%,3.76,00:03:14,0.55%,4,$779.55
topnewsgadgets.com / referral,20160906,723,100.00%,723,0.14%,4.79,00:05:22,0.00%,0,$0.00
bing / cpc,20171024,721,65.05%,469,18.86%,4.66,00:05:26,1.53%,11,"$1,497.79"
Criteo / retargeting,20161022,721,3.74%,27,29.68%,4.32,00:03:41,1.25%,9,"$1,026.62"
baidu / organic,20170208,720,56.94%,410,15.14%,6.11,00:06:08,0.28%,2,$229.83
Criteo / retargeting,20160410,720,9.72%,70,23.89%,3.26,00:02:59,0.42%,3,$329.10
steelhouse / retargeting,20170628,720,22.36%,161,23.75%,4.09,00:03:58,0.97%,7,"$1,316.96"
Criteo / retargeting,20160318,719,9.32%,67,29.49%,3.35,00:03:04,0.14%,1,"$1,218.26"
eean / affiliate,20160323,719,32.82%,236,26.56%,3.30,00:03:23,1.25%,9,"$2,317.59"
naver / organic,20161124,719,52.57%,378,5.29%,5.18,00:04:04,0.70%,5,$689.08
baidu / organic,20161229,718,43.87%,315,14.48%,7.78,00:09:16,1.53%,11,"$1,443.40"
baidu / organic,20170217,718,56.41%,405,19.64%,6.47,00:06:48,0.28%,2,$226.00
